symbol,name,exchange,category,price,crawled_date
VSE,Công ty cổ phần Dịch vụ Đường cao tốc Việt Nam,HOSE,Công nghiệp,10.8,2025-04-11
VSF,Tổng Công ty Lương thực Miền Nam - Công ty cổ phần,HOSE,Nông nghiệp,33.9,2025-04-11
VSG,Công ty Cổ phần Container Phía Nam,HOSE,Công nghiệp,2.0,2025-04-11
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,HOSE,Năng lượng,50.5,2025-04-11
VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,HOSE,Dịch vụ,17.2,2025-04-11
VSM,Công ty Cổ phần Container Miền Trung,HNX,Công nghiệp,20.8,2025-04-11
VSN,Công ty cổ phần Việt Nam Kỹ nghệ Súc sản,HOSE,Hàng tiêu dùng,17.3,2025-04-11
VST,Công ty Cổ phần Vận tải và Thuê tàu biển Việt Nam,HOSE,Công nghiệp,3.2,2025-04-11
VTA,Công ty Cổ phần Vitaly,HOSE,Bất động sản và Xây dựng,3.4,2025-04-11
VTB,Công ty Cổ phần Viettronics Tân Bình,HOSE,Hàng tiêu dùng,10.1,2025-04-11
VTC,Công ty Cổ phần Viễn thông VTC,HNX,Công nghệ,7.7,2025-04-11
VTD,Công ty cổ phần Vietourist Holdings,HOSE,Dịch vụ,10.6,2025-04-11
VTE,Công ty cổ phần Viễn thông Điện tử Vinacap,HOSE,Công nghiệp,3.8,2025-04-11
VTG,Công ty cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,HOSE,Dịch vụ,9.7,2025-04-11
VTH,Công ty Cổ phần Tập đoàn Việt Thái,HNX,Dịch vụ,7.9,2025-04-11
VTI,Công ty Cổ phần Sản xuất – Xuất nhập khẩu Dệt May,HOSE,Hàng tiêu dùng,8.6,2025-04-11
VTJ,Công ty cổ phần Thương mại và Đầu tư Vinataba,HNX,Hàng tiêu dùng,4.1,2025-04-11
VTK,Công ty cổ phần Tư vấn Thiết kế Viettel,HOSE,Viễn thông,56.5,2025-04-11
VTL,Công ty Cổ phần Vang Thăng Long,HOSE,Hàng tiêu dùng,7.7,2025-04-11
VTM,CTCP Vận tải và Đưa đón thợ mỏ - Vinacomin,HOSE,Công nghiệp,21.8,2025-04-11
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,HOSE,Năng lượng,12.4,2025-04-11
VTP,Tổng Công ty cổ phần Bưu chính Viettel,HOSE,Dịch vụ,112.0,2025-04-11
VTQ,Công ty Cổ phần Việt Trung Quảng Bình,HOSE,Nông nghiệp,32.6,2025-04-11
VTR,CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,HOSE,Dịch vụ,21.1,2025-04-11
VTS,Công ty Cổ phần Viglacera Từ Sơn,HOSE,Bất động sản và Xây dựng,12.5,2025-04-11
VTT,,HNX,,0.0,2025-04-11
VTV,Công ty Cổ phần Năng lượng và Môi trường VICEM,HNX,Bất động sản và Xây dựng,10.6,2025-04-11
VTX,Công ty cổ phần Vận tải đa phương thức Vietranstimex,HOSE,Công nghiệp,8.1,2025-04-11
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,HNX,Nguyên vật liệu,18.1,2025-04-11
VUA,Công ty cổ phần Chứng khoán Stanley Brothers,HOSE,Tài chính,18.1,2025-04-11
VVN,Tổng Công ty cổ phần Xây dựng công nghiệp Việt Nam,HOSE,Bất động sản và Xây dựng,2.2,2025-04-11
VVS,Công ty cổ phần Đầu tư Phát triển máy Việt Nam,HOSE,Dịch vụ,18.1,2025-04-11
VW3,Công ty cổ phần Viwaseen3,HOSE,Công nghiệp,10.3,2025-04-11
VWS,Công ty Cổ phần Nước và Môi trường Việt Nam,HOSE,Dịch vụ,19.6,2025-04-11
VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,HOSE,Bất động sản và Xây dựng,23.9,2025-04-11
VXP,Công ty cổ phần Thuốc Thú y Trung ương VETVACO,HOSE,Nông nghiệp,30.6,2025-04-11
VXT,CTCP Kho vận và Dịch vụ Thương mại,HOSE,Nguyên vật liệu,12.8,2025-04-11
WCS,Công ty Cổ phần Bến xe Miền Tây,HNX,Công nghiệp,327.2,2025-04-11
WSB,Công ty Cổ phần Bia Sài Gòn - Miền Tây,HOSE,Hàng tiêu dùng,60.0,2025-04-11
WSS,Công ty Cổ phần Chứng khoán Phố Wall,HNX,Tài chính,4.4,2025-04-11
WTC,CTCP Vận tải thủy - Vinacomin,HOSE,Công nghiệp,11.1,2025-04-11
X20,Công ty Cổ phần X20,HNX,Hàng tiêu dùng,14.7,2025-04-11
